source: ,"Table 32-10-0358-01  Area, production and farm value of potatoes",,,,,,,,,,,,,
REF_DATE,GEO,DGUID,"Area, production and farm value of potatoes",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1910,Manitoba,2016A000246,"Production, potatoes",Hundredweight,156,thousands,3,v47168,8.3,1720,,,,0
1910,Manitoba,2016A000246,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47179,8.4,0.98,,,,2
1910,Manitoba,2016A000246,"Total farm value, potatoes",Dollars,81,thousands,3,v47190,8.5,1690,,,,0
1910,Saskatchewan,2016A000247,"Seeded area, potatoes",Acres,28,units ,0,v47147,9.1,24000,,,,0
1910,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47158,9.2,72.9,,,,1
1910,Saskatchewan,2016A000247,"Production, potatoes",Hundredweight,156,thousands,3,v47169,9.3,1750,,,,0
1910,Saskatchewan,2016A000247,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47180,9.4,0.97,,,,2
1910,Saskatchewan,2016A000247,"Total farm value, potatoes",Dollars,81,thousands,3,v47191,9.5,1697,,,,0
1910,Alberta,2016A000248,"Seeded area, potatoes",Acres,28,units ,0,v47148,10.1,20100,,,,0
1910,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47159,10.2,69.9,,,,1
1910,Alberta,2016A000248,"Production, potatoes",Hundredweight,156,thousands,3,v47170,10.3,1404,,,,0
1910,Alberta,2016A000248,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47181,10.4,0.85,,,,2
1910,Alberta,2016A000248,"Total farm value, potatoes",Dollars,81,thousands,3,v47192,10.5,1191,,,,0
1910,British Columbia,2016A000259,"Seeded area, potatoes",Acres,28,units ,0,v47149,11.1,10900,,,,0
1910,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47160,11.2,89.9,,,,1
1910,British Columbia,2016A000259,"Production, potatoes",Hundredweight,156,thousands,3,v47171,11.3,980,,,,0
1910,British Columbia,2016A000259,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47182,11.4,1.17,,,,2
1910,British Columbia,2016A000259,"Total farm value, potatoes",Dollars,81,thousands,3,v47193,11.5,1149,,,,0
1911,Canada,2016A000011124,"Seeded area, potatoes",Acres,28,units ,0,v47140,1.1,480800,,,,0
1911,Canada,2016A000011124,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47151,1.2,89.1,,,,1
1911,Canada,2016A000011124,"Production, potatoes",Hundredweight,156,thousands,3,v47162,1.3,42853,,,,0
