source:,"Table 32-10-0160-01  Hogs statistics, number of hogs on farms at end of semi-annual period (x 1,000)",,,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Livestock,Survey date,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2008,Newfoundland and Labrador,2016A000210,"Boars, 6 months and over",At January 1,Head,148,thousands,3,v1064722829,3.3.1,0,,,,1
2008,Newfoundland and Labrador,2016A000210,"Boars, 6 months and over",At July 1,Head,148,thousands,3,v1064722830,3.3.2,0,,,,1
2008,Newfoundland and Labrador,2016A000210,"Sows and gilts, 6 months and over",At January 1,Head,148,thousands,3,v1064722831,3.4.1,0.2,,,,1
2008,Newfoundland and Labrador,2016A000210,"Sows and gilts, 6 months and over",At July 1,Head,148,thousands,3,v1064722832,3.4.2,0.2,,,,1
2008,Newfoundland and Labrador,2016A000210,All other hogs,At January 1,Head,148,thousands,3,v1064722833,3.5.1,1.2,,,,1
2008,Newfoundland and Labrador,2016A000210,All other hogs,At July 1,Head,148,thousands,3,v1064722834,3.5.2,1.2,,,,1
2008,Newfoundland and Labrador,2016A000210,Under 23 kilograms,At January 1,Head,148,thousands,3,v1064722835,3.6.1,0.5,,,,1
2008,Newfoundland and Labrador,2016A000210,Under 23 kilograms,At July 1,Head,148,thousands,3,v1064722836,3.6.2,0.5,,,,1
2008,Newfoundland and Labrador,2016A000210,Under 7 kilograms,At January 1,Head,148,thousands,3,v1064722837,3.7.1,0.2,,,,1
2008,Newfoundland and Labrador,2016A000210,Under 7 kilograms,At July 1,Head,148,thousands,3,v1064722838,3.7.2,0.2,,,,1
2008,Newfoundland and Labrador,2016A000210,7 to 22 kilograms,At January 1,Head,148,thousands,3,v1064722839,3.8.1,0.3,,,,1
2008,Newfoundland and Labrador,2016A000210,7 to 22 kilograms,At July 1,Head,148,thousands,3,v1064722840,3.8.2,0.3,,,,1
2008,Newfoundland and Labrador,2016A000210,23 to 53 kilograms,At January 1,Head,148,thousands,3,v1064722841,3.9.1,0.3,,,,1
2008,Newfoundland and Labrador,2016A000210,23 to 53 kilograms,At July 1,Head,148,thousands,3,v1064722842,3.9.2,0.3,,,,1
2008,Newfoundland and Labrador,2016A000210,54 to 80 kilograms,At January 1,Head,148,thousands,3,v1066363606,3.10.1,0.2,,,,1
2008,Newfoundland and Labrador,2016A000210,54 to 80 kilograms,At July 1,Head,148,thousands,3,v1066363607,3.10.2,0.2,,,,1
2008,Newfoundland and Labrador,2016A000210,Over 81 kilograms,At January 1,Head,148,thousands,3,v1064722843,3.11.1,0.2,,,,1
2008,Newfoundland and Labrador,2016A000210,Over 81 kilograms,At July 1,Head,148,thousands,3,v1064722844,3.11.2,0.2,,,,1
2008,Prince Edward Island,2016A000211,"Hogs, total",At January 1,Head,148,thousands,3,v1064722845,4.1.1,101.7,,,,1
2008,Prince Edward Island,2016A000211,"Hogs, total",At July 1,Head,148,thousands,3,v1064722846,4.1.2,68.1,,,,1
2008,Prince Edward Island,2016A000211,"Breeding stock, 6 months and over",At January 1,Head,148,thousands,3,v1064722847,4.2.1,8.9,,,,1
2008,Prince Edward Island,2016A000211,"Breeding stock, 6 months and over",At July 1,Head,148,thousands,3,v1064722848,4.2.2,6.9,,,,1
2008,Prince Edward Island,2016A000211,"Boars, 6 months and over",At January 1,Head,148,thousands,3,v1064722849,4.3.1,0.4,,,,1
2008,Prince Edward Island,2016A000211,"Boars, 6 months and over",At July 1,Head,148,thousands,3,v1064722850,4.3.2,0.1,,,,1
2008,Prince Edward Island,2016A000211,"Sows and gilts, 6 months and over",At January 1,Head,148,thousands,3,v1064722851,4.4.1,8.5,,,,1
2008,Prince Edward Island,2016A000211,"Sows and gilts, 6 months and over",At July 1,Head,148,thousands,3,v1064722852,4.4.2,6.8,,,,1
2008,Prince Edward Island,2016A000211,All other hogs,At January 1,Head,148,thousands,3,v1064722853,4.5.1,92.8,,,,1
2008,Prince Edward Island,2016A000211,All other hogs,At July 1,Head,148,thousands,3,v1064722854,4.5.2,61.2,,,,1
2008,Prince Edward Island,2016A000211,Under 23 kilograms,At January 1,Head,148,thousands,3,v1064722855,4.6.1,30.9,,,,1
2008,Prince Edward Island,2016A000211,Under 23 kilograms,At July 1,Head,148,thousands,3,v1064722856,4.6.2,22.6,,,,1
2008,Prince Edward Island,2016A000211,Under 7 kilograms,At January 1,Head,148,thousands,3,v1064722857,4.7.1,9.2,,,,1
2008,Prince Edward Island,2016A000211,Under 7 kilograms,At July 1,Head,148,thousands,3,v1064722858,4.7.2,6.4,,,,1
2008,Prince Edward Island,2016A000211,7 to 22 kilograms,At January 1,Head,148,thousands,3,v1064722859,4.8.1,21.7,,,,1
2008,Prince Edward Island,2016A000211,7 to 22 kilograms,At July 1,Head,148,thousands,3,v1064722860,4.8.2,16.2,,,,1
2008,Prince Edward Island,2016A000211,23 to 53 kilograms,At January 1,Head,148,thousands,3,v1064722861,4.9.1,24.6,,,,1
2008,Prince Edward Island,2016A000211,23 to 53 kilograms,At July 1,Head,148,thousands,3,v1064722862,4.9.2,15.1,,,,1
2008,Prince Edward Island,2016A000211,54 to 80 kilograms,At January 1,Head,148,thousands,3,v1066363608,4.10.1,15.8,,,,1
2008,Prince Edward Island,2016A000211,54 to 80 kilograms,At July 1,Head,148,thousands,3,v1066363609,4.10.2,9.6,,,,1
2008,Prince Edward Island,2016A000211,Over 81 kilograms,At January 1,Head,148,thousands,3,v1064722863,4.11.1,21.5,,,,1
2008,Prince Edward Island,2016A000211,Over 81 kilograms,At July 1,Head,148,thousands,3,v1064722864,4.11.2,13.9,,,,1
2008,Nova Scotia,2016A000212,"Hogs, total",At January 1,Head,148,thousands,3,v1064722865,5.1.1,67.3,,,,1
2008,Nova Scotia,2016A000212,"Hogs, total",At July 1,Head,148,thousands,3,v1064722866,5.1.2,37.1,,,,1
2008,Nova Scotia,2016A000212,"Breeding stock, 6 months and over",At January 1,Head,148,thousands,3,v1064722867,5.2.1,7.2,,,,1
2008,Nova Scotia,2016A000212,"Breeding stock, 6 months and over",At July 1,Head,148,thousands,3,v1064722868,5.2.2,8,,,,1
2008,Nova Scotia,2016A000212,"Boars, 6 months and over",At January 1,Head,148,thousands,3,v1064722869,5.3.1,0.2,,,,1
2008,Nova Scotia,2016A000212,"Boars, 6 months and over",At July 1,Head,148,thousands,3,v1064722870,5.3.2,0.3,,,,1
2008,Nova Scotia,2016A000212,"Sows and gilts, 6 months and over",At January 1,Head,148,thousands,3,v1064722871,5.4.1,7,,,,1
2008,Nova Scotia,2016A000212,"Sows and gilts, 6 months and over",At July 1,Head,148,thousands,3,v1064722872,5.4.2,7.7,,,,1
2008,Nova Scotia,2016A000212,All other hogs,At January 1,Head,148,thousands,3,v1064722873,5.5.1,60.1,,,,1
2008,Nova Scotia,2016A000212,All other hogs,At July 1,Head,148,thousands,3,v1064722874,5.5.2,29.1,,,,1
2008,Nova Scotia,2016A000212,Under 23 kilograms,At January 1,Head,148,thousands,3,v1064722875,5.6.1,22.5,,,,1
2008,Nova Scotia,2016A000212,Under 23 kilograms,At July 1,Head,148,thousands,3,v1064722876,5.6.2,15.8,,,,1
2008,Nova Scotia,2016A000212,Under 7 kilograms,At January 1,Head,148,thousands,3,v1064722877,5.7.1,7.6,,,,1
2008,Nova Scotia,2016A000212,Under 7 kilograms,At July 1,Head,148,thousands,3,v1064722878,5.7.2,7.9,,,,1
2008,Nova Scotia,2016A000212,7 to 22 kilograms,At January 1,Head,148,thousands,3,v1064722879,5.8.1,14.9,,,,1
2008,Nova Scotia,2016A000212,7 to 22 kilograms,At July 1,Head,148,thousands,3,v1064722880,5.8.2,7.9,,,,1
2008,Nova Scotia,2016A000212,23 to 53 kilograms,At January 1,Head,148,thousands,3,v1064722881,5.9.1,13.8,,,,1
2008,Nova Scotia,2016A000212,23 to 53 kilograms,At July 1,Head,148,thousands,3,v1064722882,5.9.2,4.7,,,,1
2008,Nova Scotia,2016A000212,54 to 80 kilograms,At January 1,Head,148,thousands,3,v1066363610,5.10.1,11.2,,,,1
2008,Nova Scotia,2016A000212,54 to 80 kilograms,At July 1,Head,148,thousands,3,v1066363611,5.10.2,4,,,,1
2008,Nova Scotia,2016A000212,Over 81 kilograms,At January 1,Head,148,thousands,3,v1064722883,5.11.1,12.6,,,,1
2008,Nova Scotia,2016A000212,Over 81 kilograms,At July 1,Head,148,thousands,3,v1064722884,5.11.2,4.6,,,,1
2008,New Brunswick,2016A000213,"Hogs, total",At January 1,Head,148,thousands,3,v1064722885,6.1.1,87.4,,,,1
2008,New Brunswick,2016A000213,"Hogs, total",At July 1,Head,148,thousands,3,v1064722886,6.1.2,81.6,,,,1
2008,New Brunswick,2016A000213,"Breeding stock, 6 months and over",At January 1,Head,148,thousands,3,v1064722887,6.2.1,13.3,,,,1
2008,New Brunswick,2016A000213,"Breeding stock, 6 months and over",At July 1,Head,148,thousands,3,v1064722888,6.2.2,13.1,,,,1
2008,New Brunswick,2016A000213,"Boars, 6 months and over",At January 1,Head,148,thousands,3,v1064722889,6.3.1,0.3,,,,1
2008,New Brunswick,2016A000213,"Boars, 6 months and over",At July 1,Head,148,thousands,3,v1064722890,6.3.2,0.1,,,,1
2008,New Brunswick,2016A000213,"Sows and gilts, 6 months and over",At January 1,Head,148,thousands,3,v1064722891,6.4.1,13,,,,1
2008,New Brunswick,2016A000213,"Sows and gilts, 6 months and over",At July 1,Head,148,thousands,3,v1064722892,6.4.2,13,,,,1
2008,New Brunswick,2016A000213,All other hogs,At January 1,Head,148,thousands,3,v1064722893,6.5.1,74.1,,,,1
2008,New Brunswick,2016A000213,All other hogs,At July 1,Head,148,thousands,3,v1064722894,6.5.2,68.5,,,,1
2008,New Brunswick,2016A000213,Under 23 kilograms,At January 1,Head,148,thousands,3,v1064722895,6.6.1,34.3,,,,1
2008,New Brunswick,2016A000213,Under 23 kilograms,At July 1,Head,148,thousands,3,v1064722896,6.6.2,38.7,,,,1
2008,New Brunswick,2016A000213,Under 7 kilograms,At January 1,Head,148,thousands,3,v1064722897,6.7.1,11.4,,,,1
2008,New Brunswick,2016A000213,Under 7 kilograms,At July 1,Head,148,thousands,3,v1064722898,6.7.2,12,,,,1
2008,New Brunswick,2016A000213,7 to 22 kilograms,At January 1,Head,148,thousands,3,v1064722899,6.8.1,22.9,,,,1
2008,New Brunswick,2016A000213,7 to 22 kilograms,At July 1,Head,148,thousands,3,v1064722900,6.8.2,26.7,,,,1
2008,New Brunswick,2016A000213,23 to 53 kilograms,At January 1,Head,148,thousands,3,v1064722901,6.9.1,17.9,,,,1
2008,New Brunswick,2016A000213,23 to 53 kilograms,At July 1,Head,148,thousands,3,v1064722902,6.9.2,12.8,,,,1
2008,New Brunswick,2016A000213,54 to 80 kilograms,At January 1,Head,148,thousands,3,v1066363612,6.10.1,9.6,,,,1
2008,New Brunswick,2016A000213,54 to 80 kilograms,At July 1,Head,148,thousands,3,v1066363613,6.10.2,7,,,,1
2008,New Brunswick,2016A000213,Over 81 kilograms,At January 1,Head,148,thousands,3,v1064722903,6.11.1,12.3,,,,1
2008,New Brunswick,2016A000213,Over 81 kilograms,At July 1,Head,148,thousands,3,v1064722904,6.11.2,10,,,,1
2008,Quebec,2016A000224,"Hogs, total",At January 1,Head,148,thousands,3,v1064722905,7.1.1,4080,,,,1
2008,Quebec,2016A000224,"Hogs, total",At July 1,Head,148,thousands,3,v1064722906,7.1.2,4165,,,,1
2008,Quebec,2016A000224,"Breeding stock, 6 months and over",At January 1,Head,148,thousands,3,v1064722907,7.2.1,380.8,,,,1
