source:,"Table 32-10-0117-01  Production, disposition and farm value of poultry meat (x 1,000)",,,,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Production and disposition,Commodity,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1941,New Brunswick,2016A000213,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60604,5.1.1.2,1613,,,,0
1941,New Brunswick,2016A000213,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60635,5.1.1.3,704,,,,0
1941,New Brunswick,2016A000213,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60756,5.1.2.1,33,,,,0
1941,New Brunswick,2016A000213,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60784,5.1.2.2,178,,,,0
1941,New Brunswick,2016A000213,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60812,5.1.2.3,99,,,,0
1941,New Brunswick,2016A000213,Home consumption,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60574,5.2.1.1,408,,,,0
1941,New Brunswick,2016A000213,Home consumption,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60605,5.2.1.2,925,,,,0
1941,New Brunswick,2016A000213,Home consumption,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60636,5.2.1.3,404,,,,0
1941,New Brunswick,2016A000213,Home consumption,Turkey,Birds,Birds,37,thousands,3,v60757,5.2.2.1,3,,,,0
1941,New Brunswick,2016A000213,Home consumption,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60785,5.2.2.2,16,,,,0
1941,New Brunswick,2016A000213,Home consumption,Turkey,Value (dollars),Dollars,81,thousands,3,v60813,5.2.2.3,9,,,,0
1941,New Brunswick,2016A000213,Sold,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60575,5.3.1.1,253,,,,0
1941,New Brunswick,2016A000213,Sold,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60606,5.3.1.2,574,,,,0
1941,New Brunswick,2016A000213,Sold,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60637,5.3.1.3,250,,,,0
1941,New Brunswick,2016A000213,Sold,Turkey,Birds,Birds,37,thousands,3,v60758,5.3.2.1,27,,,,0
1941,New Brunswick,2016A000213,Sold,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60786,5.3.2.2,147,,,,0
1941,New Brunswick,2016A000213,Sold,Turkey,Value (dollars),Dollars,81,thousands,3,v60814,5.3.2.3,82,,,,0
1941,Quebec,2016A000224,"Production, total",Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60576,6.1.1.1,5420,,,,0
1941,Quebec,2016A000224,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60607,6.1.1.2,12292,,,,0
1941,Quebec,2016A000224,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60638,6.1.1.3,4580,,,,0
1941,Quebec,2016A000224,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60759,6.1.2.1,169,,,,0
1941,Quebec,2016A000224,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60787,6.1.2.2,919,,,,0
1941,Quebec,2016A000224,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60815,6.1.2.3,466,,,,0
1941,Quebec,2016A000224,Home consumption,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60577,6.2.1.1,1803,,,,0
1941,Quebec,2016A000224,Home consumption,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60608,6.2.1.2,4089,,,,0
1941,Quebec,2016A000224,Home consumption,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60639,6.2.1.3,1524,,,,0
1941,Quebec,2016A000224,Home consumption,Turkey,Birds,Birds,37,thousands,3,v60760,6.2.2.1,17,,,,0
1941,Quebec,2016A000224,Home consumption,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60788,6.2.2.2,93,,,,0
1941,Quebec,2016A000224,Home consumption,Turkey,Value (dollars),Dollars,81,thousands,3,v60816,6.2.2.3,47,,,,0
1941,Quebec,2016A000224,Sold,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60578,6.3.1.1,3277,,,,0
1941,Quebec,2016A000224,Sold,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60609,6.3.1.2,7432,,,,0
1941,Quebec,2016A000224,Sold,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60640,6.3.1.3,2769,,,,0
1941,Quebec,2016A000224,Sold,Turkey,Birds,Birds,37,thousands,3,v60761,6.3.2.1,138,,,,0
1941,Quebec,2016A000224,Sold,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60789,6.3.2.2,751,,,,0
1941,Quebec,2016A000224,Sold,Turkey,Value (dollars),Dollars,81,thousands,3,v60817,6.3.2.3,381,,,,0
1941,Ontario,2016A000235,"Production, total",Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60579,7.1.1.1,15603,,,,0
1941,Ontario,2016A000235,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60610,7.1.1.2,34679,,,,0
1941,Ontario,2016A000235,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60641,7.1.1.3,12691,,,,0
1941,Ontario,2016A000235,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60762,7.1.2.1,628,,,,0
1941,Ontario,2016A000235,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60790,7.1.2.2,3416,,,,0
1941,Ontario,2016A000235,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60818,7.1.2.3,1733,,,,0
1941,Ontario,2016A000235,Home consumption,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60580,7.2.1.1,2929,,,,0
1941,Ontario,2016A000235,Home consumption,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60611,7.2.1.2,6510,,,,0
1941,Ontario,2016A000235,Home consumption,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60642,7.2.1.3,2382,,,,0
1941,Ontario,2016A000235,Home consumption,Turkey,Birds,Birds,37,thousands,3,v60763,7.2.2.1,68,,,,0
1941,Ontario,2016A000235,Home consumption,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60791,7.2.2.2,370,,,,0
