source,"Table 32-10-0110-01  Cash receipts from milk and cream sold off farms (x 1,000)",,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Dairy distribution,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Apr-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,142427,,,,0
May-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,673252,,,t,0
May-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148106,,,,0
Jun-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,867669,,,t,0
Jun-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,153349,,,,0
Jul-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,819174,,,t,0
Jul-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,146796,,,,0
Aug-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,733106,,,t,0
Aug-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,136310,,,,0
Sep-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,647038,,,t,0
Sep-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,141553,,,,0
Oct-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,546990,,,t,0
Oct-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,141990,,,,0
Nov-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,432961,,,t,0
Nov-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,145922,,,,0
Dec-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,385339,,,t,0
Dec-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154223,,,,0
Jan-49,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,348640,,,t,0
Jan-49,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,145485,,,,0
Feb-49,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,324611,,,t,0
Feb-49,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,138495,,,,0
Mar-49,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,408932,,,t,0
Mar-49,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154223,,,,0
Apr-49,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,530388,,,t,0
Apr-49,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148543,,,,0
May-49,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,711699,,,t,0
May-49,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148106,,,,0
Jun-49,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,835339,,,t,0
Jun-49,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148980,,,,0
Jul-49,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,781165,,,t,0
Jul-49,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,147233,,,,0
Aug-49,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,729611,,,t,0
Aug-49,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148106,,,,0
Sep-49,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,658398,,,t,0
Sep-49,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,145048,,,,0
Oct-49,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,583252,,,t,0
Oct-49,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,151165,,,,0
Nov-49,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,451747,,,t,0
Nov-49,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,149417,,,,0
Dec-49,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,394514,,,t,0
Dec-49,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154223,,,,0
Jan-50,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,355631,,,t,0
Jan-50,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148980,,,,0
Feb-50,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,326796,,,t,0
Feb-50,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,141116,,,,0
Mar-50,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,419854,,,t,0
Mar-50,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,159466,,,,0
Apr-50,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,515970,,,t,0
Apr-50,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148106,,,,0
May-50,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,660582,,,t,0
May-50,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154660,,,,0
Jun-50,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,816116,,,t,0
Jun-50,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,149854,,,,0
Jul-50,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,758446,,,t,0
Jul-50,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150728,,,,0
Aug-50,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,710388,,,t,0
Aug-50,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148106,,,,0
Sep-50,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,625631,,,t,0
Sep-50,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148980,,,,0
Oct-50,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,524271,,,t,0
Oct-50,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,151601,,,,0
Nov-50,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,410679,,,t,0
Nov-50,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150728,,,,0
Dec-50,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,362184,,,t,0
Dec-50,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152475,,,,0
Jan-51,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,342961,,,t,0
Jan-51,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152912,,,,0
Feb-51,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,311067,,,t,0
Feb-51,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,142427,,,,0
Mar-51,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,391893,,,t,0
Mar-51,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,161213,,,,0
Apr-51,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,490631,,,t,0
Apr-51,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150291,,,,0
May-51,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,672815,,,t,0
May-51,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,156407,,,,0
Jun-51,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,802135,,,t,0
Jun-51,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154223,,,,0
Jul-51,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,756699,,,t,0
Jul-51,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150291,,,,0
Aug-51,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,720873,,,t,0
Aug-51,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150291,,,,0
Sep-51,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,630873,,,t,0
Sep-51,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148543,,,,0
Oct-51,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,562718,,,t,0
Oct-51,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,155970,,,,0
Nov-51,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,417233,,,t,0
Nov-51,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152912,,,,0
Dec-51,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,369174,,,t,0
Dec-51,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,153786,,,,0
Jan-52,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,346893,,,t,0
Jan-52,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154660,,,,0
Feb-52,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,328543,,,t,0
Feb-52,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150728,,,,0
Mar-52,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,403689,,,t,0
Mar-52,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,163834,,,,0
Apr-52,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,523398,,,t,0
Apr-52,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152912,,,,0
May-52,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,695533,,,t,0
May-52,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,160339,,,,0
Jun-52,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,810436,,,t,0
Jun-52,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,151601,,,,0
Jul-52,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,769368,,,t,0
Jul-52,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,155097,,,,0
