source: ,"Table 32-10-0039-01  Fertilizer shipments to Canadian agriculture markets, by nutrient content and fertilizer year, cumulative data (x 1,000)",,,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Fertilizer nutrient content,Period,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006/2007,Quebec,2016A000224,Nitrogen,July to December,Metric tonnes,214,thousands,3,v52471574,4.1.2,37,,,,0
2006/2007,Quebec,2016A000224,Nitrogen,July to March,Metric tonnes,214,thousands,3,v52471614,4.1.3,46,,,,0
2006/2007,Quebec,2016A000224,Nitrogen,July to June,Metric tonnes,214,thousands,3,v52471654,4.1.4,119,,,,0
2006/2007,Quebec,2016A000224,Phosphate,July to September,Metric tonnes,214,thousands,3,v52471535,4.2.1,2,,,,0
2006/2007,Quebec,2016A000224,Phosphate,July to December,Metric tonnes,214,thousands,3,v52471575,4.2.2,5,,,,0
2006/2007,Quebec,2016A000224,Phosphate,July to March,Metric tonnes,214,thousands,3,v52471615,4.2.3,7,,,,0
2006/2007,Quebec,2016A000224,Phosphate,July to June,Metric tonnes,214,thousands,3,v52471655,4.2.4,,x,,,0
2006/2007,Quebec,2016A000224,Potash,July to September,Metric tonnes,214,thousands,3,v52471536,4.3.1,8,,,,0
2006/2007,Quebec,2016A000224,Potash,July to December,Metric tonnes,214,thousands,3,v52471576,4.3.2,14,,,,0
2006/2007,Quebec,2016A000224,Potash,July to March,Metric tonnes,214,thousands,3,v52471616,4.3.3,18,,,,0
2006/2007,Quebec,2016A000224,Potash,July to June,Metric tonnes,214,thousands,3,v52471656,4.3.4,56,,,,0
2006/2007,Quebec,2016A000224,Sulphur,July to September,Metric tonnes,214,thousands,3,v52471537,4.4.1,2,,,,0
2006/2007,Quebec,2016A000224,Sulphur,July to December,Metric tonnes,214,thousands,3,v52471577,4.4.2,4,,,,0
2006/2007,Quebec,2016A000224,Sulphur,July to March,Metric tonnes,214,thousands,3,v52471617,4.4.3,5,,,,0
2006/2007,Quebec,2016A000224,Sulphur,July to June,Metric tonnes,214,thousands,3,v52471657,4.4.4,,x,,,0
2006/2007,Ontario,2016A000235,Nitrogen,July to September,Metric tonnes,214,thousands,3,v52471538,5.1.1,38,,,,0
2006/2007,Ontario,2016A000235,Nitrogen,July to December,Metric tonnes,214,thousands,3,v52471578,5.1.2,85,,,,0
2006/2007,Ontario,2016A000235,Nitrogen,July to March,Metric tonnes,214,thousands,3,v52471618,5.1.3,124,,,,0
2006/2007,Ontario,2016A000235,Nitrogen,July to June,Metric tonnes,214,thousands,3,v52471658,5.1.4,189,,,,0
2006/2007,Ontario,2016A000235,Phosphate,July to September,Metric tonnes,214,thousands,3,v52471539,5.2.1,11,,,,0
2006/2007,Ontario,2016A000235,Phosphate,July to December,Metric tonnes,214,thousands,3,v52471579,5.2.2,21,,,,0
2006/2007,Ontario,2016A000235,Phosphate,July to March,Metric tonnes,214,thousands,3,v52471619,5.2.3,40,,,,0
2006/2007,Ontario,2016A000235,Phosphate,July to June,Metric tonnes,214,thousands,3,v52471659,5.2.4,77,,,,0
2006/2007,Ontario,2016A000235,Potash,July to September,Metric tonnes,214,thousands,3,v52471540,5.3.1,35,,,,0
2006/2007,Ontario,2016A000235,Potash,July to December,Metric tonnes,214,thousands,3,v52471580,5.3.2,50,,,,0
2006/2007,Ontario,2016A000235,Potash,July to March,Metric tonnes,214,thousands,3,v52471620,5.3.3,80,,,,0
2006/2007,Ontario,2016A000235,Potash,July to June,Metric tonnes,214,thousands,3,v52471660,5.3.4,,x,,,0
2006/2007,Ontario,2016A000235,Sulphur,July to September,Metric tonnes,214,thousands,3,v52471541,5.4.1,4,,,,0
2006/2007,Ontario,2016A000235,Sulphur,July to December,Metric tonnes,214,thousands,3,v52471581,5.4.2,6,,,,0
2006/2007,Ontario,2016A000235,Sulphur,July to March,Metric tonnes,214,thousands,3,v52471621,5.4.3,8,,,,0
2006/2007,Ontario,2016A000235,Sulphur,July to June,Metric tonnes,214,thousands,3,v52471661,5.4.4,13,,,,0
2006/2007,Prairie provinces,2016A00014,Nitrogen,July to September,Metric tonnes,214,thousands,3,v52471542,6.1.1,239,,,,0
2006/2007,Prairie provinces,2016A00014,Nitrogen,July to December,Metric tonnes,214,thousands,3,v52471582,6.1.2,655,,,,0
2006/2007,Prairie provinces,2016A00014,Nitrogen,July to March,Metric tonnes,214,thousands,3,v52471622,6.1.3,802,,,,0
2006/2007,Prairie provinces,2016A00014,Nitrogen,July to June,Metric tonnes,214,thousands,3,v52471662,6.1.4,1406,,,,0
2006/2007,Prairie provinces,2016A00014,Phosphate,July to September,Metric tonnes,214,thousands,3,v52471543,6.2.1,58,,,,0
2006/2007,Prairie provinces,2016A00014,Phosphate,July to December,Metric tonnes,214,thousands,3,v52471583,6.2.2,209,,,,0
2006/2007,Prairie provinces,2016A00014,Phosphate,July to March,Metric tonnes,214,thousands,3,v52471623,6.2.3,320,,,,0
2006/2007,Prairie provinces,2016A00014,Phosphate,July to June,Metric tonnes,214,thousands,3,v52471663,6.2.4,512,,,,0
2006/2007,Prairie provinces,2016A00014,Potash,July to September,Metric tonnes,214,thousands,3,v52471544,6.3.1,12,,,,0
2006/2007,Prairie provinces,2016A00014,Potash,July to December,Metric tonnes,214,thousands,3,v52471584,6.3.2,50,,,,0
2006/2007,Prairie provinces,2016A00014,Potash,July to March,Metric tonnes,214,thousands,3,v52471624,6.3.3,76,,,,0
2006/2007,Prairie provinces,2016A00014,Potash,July to June,Metric tonnes,214,thousands,3,v52471664,6.3.4,151,,,,0
2006/2007,Prairie provinces,2016A00014,Sulphur,July to September,Metric tonnes,214,thousands,3,v52471545,6.4.1,10,,,,0
2006/2007,Prairie provinces,2016A00014,Sulphur,July to December,Metric tonnes,214,thousands,3,v52471585,6.4.2,44,,,,0
2006/2007,Prairie provinces,2016A00014,Sulphur,July to March,Metric tonnes,214,thousands,3,v52471625,6.4.3,64,,,,0
2006/2007,Prairie provinces,2016A00014,Sulphur,July to June,Metric tonnes,214,thousands,3,v52471665,6.4.4,141,,,,0
2006/2007,Manitoba,2016A000246,Nitrogen,July to September,Metric tonnes,214,thousands,3,v52471546,7.1.1,58,,,,0
2006/2007,Manitoba,2016A000246,Nitrogen,July to December,Metric tonnes,214,thousands,3,v52471586,7.1.2,183,,,,0
2006/2007,Manitoba,2016A000246,Nitrogen,July to March,Metric tonnes,214,thousands,3,v52471626,7.1.3,208,,,,0
2006/2007,Manitoba,2016A000246,Nitrogen,July to June,Metric tonnes,214,thousands,3,v52471666,7.1.4,329,,,,0
2006/2007,Manitoba,2016A000246,Phosphate,July to September,Metric tonnes,214,thousands,3,v52471547,7.2.1,19,,,,0
2006/2007,Manitoba,2016A000246,Phosphate,July to December,Metric tonnes,214,thousands,3,v52471587,7.2.2,59,,,,0
2006/2007,Manitoba,2016A000246,Phosphate,July to March,Metric tonnes,214,thousands,3,v52471627,7.2.3,83,,,,0
2006/2007,Manitoba,2016A000246,Phosphate,July to June,Metric tonnes,214,thousands,3,v52471667,7.2.4,128,,,,0
2006/2007,Manitoba,2016A000246,Potash,July to September,Metric tonnes,214,thousands,3,v52471548,7.3.1,4,,,,0
2006/2007,Manitoba,2016A000246,Potash,July to December,Metric tonnes,214,thousands,3,v52471588,7.3.2,24,,,,0
2006/2007,Manitoba,2016A000246,Potash,July to March,Metric tonnes,214,thousands,3,v52471628,7.3.3,38,,,,0
2006/2007,Manitoba,2016A000246,Potash,July to June,Metric tonnes,214,thousands,3,v52471668,7.3.4,79,,,,0
2006/2007,Manitoba,2016A000246,Sulphur,July to September,Metric tonnes,214,thousands,3,v52471549,7.4.1,3,,,,0
2006/2007,Manitoba,2016A000246,Sulphur,July to December,Metric tonnes,214,thousands,3,v52471589,7.4.2,11,,,,0
2006/2007,Manitoba,2016A000246,Sulphur,July to March,Metric tonnes,214,thousands,3,v52471629,7.4.3,14,,,,0
2006/2007,Manitoba,2016A000246,Sulphur,July to June,Metric tonnes,214,thousands,3,v52471669,7.4.4,28,,,,0
2006/2007,Saskatchewan,2016A000247,Nitrogen,July to September,Metric tonnes,214,thousands,3,v52471550,8.1.1,89,,,,0
