GEO,food_group,CCHS consumed kg/cap/year,adjusted consumed kg/cap
Saskatchewan,Oilseeds,3.165672514,11.9977435
Saskatchewan,Pork,21.00557476,10.84271747
Saskatchewan,Roots,26.62025781,50.05291191
Saskatchewan,Vegetables,15.49758241,32.55185628
Manitoba,Milk,51.91354908,44.25395137
Canada,Chicken,34.3834099,18.44271551
Canada,Eggs,14.02043475,9.349456751
Canada,Fish,27.31822684,2.592962839
Canada,Fruits,37.98007548,44.31322236
Canada,Grains,24.74147387,46.95335142
Canada,Legumes,22.28224365,2.577461361
Saskatchewan,Milk,55.33688762,47.17219256
Canada,Oilseeds,3.247414322,12.30754094
Canada,Pork,20.98575262,10.83248561
Canada,Roots,26.26691012,49.38852763
Canada,Vegetables,16.11608307,33.85098438
